cpg_id,chrA,startA,RefGene,RefGene_Group,average,median,stdev
cg06418113,18,43915901,RNF165,Body,0.089,0.077,0.003
cg06419268,1,206879950,MAPKAPK2;MAPKAPK2,Body;Body,0.105,0.104,0.003
cg06443678,17,55785087,,,0.090,0.073,0.007
cg06452419,17,55938940,,,0.090,0.087,0.006
cg06480942,7,73116029,STX1A;STX1A,Body;Body,0.107,0.112,0.003
cg06484274,3,142164840,XRN1;XRN1,Body;Body,0.096,0.076,0.007
cg06487334,6,155759026,NOX3,Body,0.094,0.053,0.015
cg06489912,12,51015475,DIP2B,Body,0.119,0.102,0.008
cg06499213,6,111888840,TRAF3IP2;TRAF3IP2;TRAF3IP2;TRAF3IP2;TRAF3IP2,Body;Body;Body;TSS1500;Body,0.100,0.103,0.004
cg06507678,5,114919500,TMED7-TICAM2;TICAM2;TMED7-TICAM2,Body;5'UTR;Body,0.106,0.091,0.004
cg06508867,16,87814178,,,0.110,0.094,0.004
cg06512263,6,20709867,CDKAL1,Body,0.091,0.070,0.005
cg06521347,8,128139451,,,0.090,0.089,0.004
cg06527318,1,25349006,,,0.097,0.082,0.005
cg06528816,2,47242277,TTC7A,Body,0.104,0.106,0.002
cg06534586,5,130664529,CDC42SE2;CDC42SE2,5'UTR;5'UTR,0.089,0.072,0.005
cg06535003,6,106042314,,,0.086,0.087,0.002
cg06535102,1,95101861,,,0.087,0.092,0.003
cg06537131,1,182204144,,,0.095,0.098,0.003
cg06539629,10,95753015,PLCE1,TSS1500,0.100,0.090,0.003
cg06545477,1,2440127,PANK4,3'UTR,0.092,0.088,0.007
cg06548214,20,57270552,NPEPL1,Body,0.099,0.113,0.004
cg06551595,18,44340177,,,0.092,0.088,0.004
cg06560379,6,44231305,NFKBIE,Body,0.087,0.075,0.003
cg06566627,2,27958897,,,0.095,0.103,0.003
cg06572974,15,93442219,CHD2;CHD2,TSS1500;TSS1500,0.122,0.117,0.003
cg06573096,13,44811779,,,0.093,0.093,0.004
cg06583577,5,115897444,SEMA6A,5'UTR,0.086,0.064,0.005
cg06585734,3,46037942,FYCO1,TSS1500,0.087,0.073,0.006
cg06588605,20,35201208,TGIF2,TSS1500,0.086,0.076,0.003
cg06607825,11,19825800,NAV2;NAV2;NAV2,Body;Body;Body,0.096,0.066,0.010
cg06608378,15,76016129,ODF3L1,TSS200,0.116,0.100,0.004
cg06609646,5,125758447,GRAMD3;GRAMD3;GRAMD3;GRAMD3,TSS1500;TSS1500;TSS1500;Body,0.115,0.107,0.005
cg06615719,19,1455513,APC2,Body,0.142,0.131,0.012
cg06617449,11,16763554,C11orf58;C11orf58,Body;5'UTR,0.104,0.106,0.006
cg06622199,17,75422925,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,Body;Body;Body;Body;Body,0.091,0.088,0.003
cg06623219,19,13207502,NFIX,3'UTR,0.112,0.107,0.010
cg06631625,14,95656945,CLMN,3'UTR,0.087,0.084,0.003
cg06633243,4,114621848,CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D;CAMK2D,Body;Body;Body;Body;Body;Body,0.088,0.084,0.003
cg06633978,16,75353806,CFDP1,Body,0.126,0.122,0.006
cg06637812,1,203293433,,,0.107,0.085,0.007
cg06647068,12,104853274,CHST11,Body,0.107,0.102,0.005
cg06650246,1,206897270,MAPKAPK2;MAPKAPK2,Body;Body,0.137,0.110,0.008
cg06651522,4,7862646,AFAP1;AFAP1,Body;Body,0.095,0.085,0.004
cg06660570,1,181070524,,,0.103,0.106,0.003
cg06663317,16,56641101,MT2A,TSS1500,0.121,0.105,0.004
cg06665913,11,113947036,ZBTB16;ZBTB16,Body;Body,0.088,0.074,0.007
cg06671623,15,99262351,IGF1R,Body,0.092,0.085,0.005
cg06677890,5,149887486,NDST1,TSS200,0.126,0.120,0.005
cg06679494,17,6921295,MIR497;MIR195,Body;TSS1500,0.132,0.120,0.006
cg06689619,4,99935464,METAP1,Body,0.093,0.020,0.013
cg06693511,5,126742185,MEGF10,Body,0.094,0.097,0.003
cg06703222,16,69598327,NFAT5;NFAT5;NFAT5;NFAT5;NFAT5,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,0.096,0.090,0.003
cg06712541,22,39321611,,,0.087,0.070,0.005
cg06720544,2,65641018,SPRED2,Body,0.093,0.085,0.005
cg06737942,7,158613567,ESYT2,Body,0.119,0.118,0.003
cg06738887,15,60688010,ANXA2;ANXA2;ANXA2;ANXA2,5'UTR;5'UTR;Body;5'UTR,0.102,0.096,0.005
cg06740995,1,223893441,CAPN2,Body,0.101,0.087,0.004
cg06748147,22,38714287,CSNK1E;CSNK1E,TSS200;TSS1500,0.103,0.111,0.004
cg06759890,5,77806538,LHFPL2,5'UTR,0.107,0.092,0.004
cg06785293,6,157187520,ARID1B;ARID1B;ARID1B,Body;Body;Body,0.094,0.096,0.003
cg06788278,1,178693891,RALGPS2,TSS1500,0.130,0.135,0.003
cg06788764,1,19756350,CAPZB,Body,0.107,0.111,0.004
cg06825661,18,13260398,C18orf1;C18orf1,5'UTR;5'UTR,0.111,0.118,0.003
cg06832861,5,96146726,,,0.086,0.092,0.007
cg06834912,16,86547203,FOXF1,3'UTR,0.087,0.000,0.031
cg06838283,5,111090142,C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,0.125,0.114,0.006
cg06838302,3,151066596,MED12L;P2RY12,Body;5'UTR,0.092,0.095,0.003
cg06850526,17,79269886,SLC38A10;SLC38A10,TSS1500;TSS1500,0.104,0.100,0.004
cg06853602,3,16215315,GALNTL2,TSS1500,0.093,0.070,0.009
cg06853894,1,12204096,TNFRSF8;TNFRSF8,3'UTR;3'UTR,0.086,0.082,0.002
cg06857116,17,15885326,ZSWIM7;ZSWIM7,Body;Body,0.170,0.189,0.005
cg06858185,8,141468933,TRAPPC9;TRAPPC9,TSS1500;TSS1500,0.108,0.093,0.010
cg06858555,14,105144735,,,0.094,0.091,0.002
cg06863830,11,111503445,SIK2,Body,0.095,0.090,0.003
cg06866423,6,90926672,BACH2;BACH2,5'UTR;5'UTR,0.086,0.070,0.007
cg06879394,6,13274151,PHACTR1,Body,0.094,0.068,0.007
cg06880930,16,57147300,CPNE2,Body,0.093,0.065,0.008
cg06881965,14,69600007,DCAF5,Body,0.095,0.093,0.003
cg06888746,10,105517764,SH3PXD2A,Body,0.095,0.060,0.011
cg06895913,5,58957910,PDE4D;PDE4D,Body;Body,0.102,0.089,0.007
cg06900899,2,241393833,PP14571;GPC1,Body;Body,0.096,0.075,0.006
cg06902099,6,35002597,ANKS1A,Body,0.097,0.097,0.006
cg06903656,20,46580525,,,0.116,0.115,0.005
cg06905367,2,201170384,SPATS2L;SPATS2L;SPATS2L;SPATS2L,TSS1500;TSS1500;TSS1500;TSS1500,0.087,0.072,0.005
cg06906869,13,52734154,NEK3;NEK3;NEK3;NEK3,TSS1500;TSS200;TSS200;TSS200,0.090,0.080,0.002
cg06907033,1,54873990,,,0.096,0.094,0.003
cg06909228,2,74602278,DCTN1;DCTN1;DCTN1;DCTN1,Body;Body;TSS1500;TSS1500,0.094,0.083,0.005
cg06912623,1,224781135,,,0.090,0.081,0.004
cg06918793,4,77965646,,,0.116,0.127,0.005
cg06939451,5,81043172,SSBP2,Body,0.114,0.101,0.006
cg06943073,12,64310433,SRGAP1,Body,0.118,0.104,0.007
cg06945807,1,95061616,,,0.123,0.141,0.004
cg06961160,21,35900255,RCAN1;RCAN1;RCAN1,5'UTR;Body;TSS1500,0.089,0.079,0.004
cg06969410,2,20813834,,,0.088,0.082,0.003
cg06972911,18,30051803,FAM59A,TSS1500,0.091,0.090,0.003
cg06986734,8,128902684,PVT1,Body,0.112,0.110,0.004
cg06997767,8,116430558,TRPS1,Body,0.111,0.084,0.012
cg07046426,2,237623903,,,0.141,0.128,0.006
cg07046870,3,122803153,PDIA5;PDIA5,Body;Body,0.117,0.106,0.007
cg07047068,11,844686,TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,0.090,0.088,0.003
cg07052063,10,99255236,MMS19,Body,0.092,0.092,0.004
cg07053114,10,129794994,PTPRE,5'UTR,0.173,0.164,0.009
cg07058377,17,2041773,SMG6;SMG6,Body;Body,0.102,0.090,0.004
cg07063916,2,166809013,TTC21B,Body,0.103,0.092,0.004
cg07065220,3,193987540,,,0.090,0.077,0.006
cg07083481,21,30676570,BACH1;BACH1;BACH1,5'UTR;TSS1500;5'UTR,0.087,0.088,0.003
cg07086945,6,109036145,,,0.087,0.075,0.005
cg07086947,14,105849952,PACS2;PACS2,Body;Body,0.092,0.057,0.012
cg07091500,3,185678074,,,0.087,0.095,0.003
cg07092111,10,32621403,EPC1,Body,0.102,0.097,0.002
cg07095818,20,43919338,,,0.093,0.073,0.005
cg07101841,17,75315527,SEPT9;SEPT9;SEPT9,5'UTR;TSS200;Body,0.101,0.075,0.007
cg07110009,7,25005464,OSBPL3;OSBPL3;OSBPL3;OSBPL3,5'UTR;5'UTR;5'UTR;5'UTR,0.089,0.081,0.008
cg07116712,15,96887959,,,0.091,0.071,0.004
cg07119830,10,104412306,TRIM8,Body,0.097,0.093,0.005
cg07127456,16,66583081,TK2,Body,0.087,0.085,0.003
cg07128233,10,65217182,JMJD1C,Body,0.095,0.095,0.002
cg07130714,3,168335941,C3orf50,Body,0.093,0.077,0.008
cg07140459,3,142165032,XRN1;XRN1,Body;Body,0.092,0.078,0.004
cg07143125,11,48110045,PTPRJ;PTPRJ,Body;Body,0.161,0.170,0.003
cg07148591,15,69457701,MIR548H4;GLCE,Body;5'UTR,0.106,0.094,0.005
cg07161369,7,38350464,,,0.095,0.074,0.009
cg07163456,3,192636424,C3orf59,TSS1500,0.106,0.103,0.007
cg07168232,1,209822928,LAMB3;LAMB3;LAMB3,Body;Body;Body,0.111,0.087,0.005
cg07175582,1,219361962,LYPLAL1,Body,0.117,0.138,0.007
cg07178896,16,50238554,PAPD5;PAPD5,Body;Body,0.087,0.062,0.006
cg07187971,18,60481018,PHLPP1,Body,0.147,0.147,0.005
cg07216133,6,7142066,RREB1;RREB1;RREB1;RREB1,5'UTR;5'UTR;5'UTR;5'UTR,0.107,0.092,0.005
cg07229212,8,11056726,XKR6,Body,0.090,0.072,0.006
cg07236912,4,95429383,PDLIM5;PDLIM5;PDLIM5;PDLIM5;PDLIM5,Body;Body;Body;Body;Body,0.132,0.139,0.005
cg07240689,10,105205887,PDCD11,3'UTR,0.098,0.098,0.003
cg07248440,16,17472479,XYLT1,Body,0.105,0.095,0.005
cg07254055,6,35011768,ANKS1A,Body,0.111,0.097,0.008
cg07260003,10,50321116,C10orf72;C10orf72,Body;Body,0.110,0.105,0.007
cg07264666,22,42828415,NFAM1,TSS200,0.112,0.071,0.010
cg07283804,11,18035852,SERGEF,TSS1500,0.090,0.076,0.008
cg07297830,12,4399410,CCND2,Body,0.091,0.085,0.003
cg07298547,16,85585356,,,0.097,0.104,0.003
cg07301829,8,118313044,,,0.109,0.096,0.007
cg07316846,2,105484694,,,0.096,0.084,0.004
cg07324245,17,75445905,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,Body;Body;Body;Body;TSS1500;Body,0.091,0.094,0.002
cg07328987,13,47188916,LRCH1;LRCH1;LRCH1,Body;Body;Body,0.092,0.088,0.008
cg07330288,17,19977156,,,0.092,0.081,0.005
cg07336872,6,150393535,,,0.090,0.072,0.006
cg07341220,16,1583899,IFT140;TMEM204,Body;TSS1500,0.120,0.026,0.041
cg07344355,15,40633416,C15orf52,TSS1500,0.103,0.101,0.003
cg07353338,7,121526163,PTPRZ1,Body,0.089,0.086,0.002
cg07367601,1,235114342,,,0.108,0.101,0.002
cg07379703,5,78279424,ARSB;ARSB,Body;Body,0.100,0.097,0.006
cg07381806,19,2094327,MOBKL2A,5'UTR,0.109,0.095,0.010
cg07382687,7,137639594,CREB3L2,Body,0.089,0.082,0.003
cg07385778,3,72320634,,,0.087,0.086,0.004
cg07395500,12,118818345,SUDS3,Body,0.087,0.000,0.023
cg07401324,11,48036852,PTPRJ;PTPRJ,Body;Body,0.087,0.067,0.007
cg07402310,17,40424590,STAT5B,5'UTR,0.094,0.086,0.005
cg07420163,16,89778301,C16orf7,Body,0.088,0.082,0.003
cg07440264,11,33744977,CD59;CD59;CD59;CD59;CD59;CD59;CD59;CD59,5'UTR;TSS1500;5'UTR;TSS1500;5'UTR;TSS1500;TSS1500;5'UTR,0.096,0.096,0.003
cg07441122,16,46824519,,,0.108,0.091,0.006
cg07441953,11,78400028,ODZ4,Body,0.120,0.124,0.008
cg07448997,7,77779958,MAGI2,Body,0.091,0.086,0.007
cg07462448,10,115441840,CASP7;CASP7;CASP7;CASP7,5'UTR;5'UTR;5'UTR;5'UTR,0.111,0.101,0.004
cg07463167,14,50996091,MAP4K5;MAP4K5,Body;Body,0.108,0.057,0.018
cg07474842,6,136915088,MAP3K5,Body,0.090,0.083,0.004
cg07480762,3,155422145,PLCH1,TSS200,0.132,0.155,0.008
cg07481097,3,112959879,BOC,5'UTR,0.144,0.141,0.006
cg07485754,7,116511339,CAPZA2,Body,0.090,0.069,0.004
cg07491858,10,81165685,ZCCHC24,Body,0.086,0.089,0.002
cg07512814,19,11203661,LDLR,Body,0.111,0.102,0.007
cg07526439,20,39929751,ZHX3,TSS1500,0.101,0.095,0.003
cg07526974,10,7899001,TAF3,Body,0.115,0.113,0.004
cg07546654,11,1320546,TOLLIP,Body,0.093,0.091,0.006
cg07547695,2,111881075,BCL2L11;BCL2L11;BCL2L11,5'UTR;5'UTR;5'UTR,0.098,0.089,0.004
cg07551060,10,121075316,GRK5,Body,0.113,0.115,0.004
cg07555397,7,127314628,SND1,Body,0.125,0.129,0.006
cg07565018,15,72513609,PKM2;PKM2;PKM2,5'UTR;5'UTR;5'UTR,0.087,0.087,0.002
cg07571519,10,73472315,C10orf105;C10orf105;CDH23,3'UTR;3'UTR;Body,0.111,0.092,0.005
cg07574216,3,156394398,TIPARP;LOC100287227,5'UTR;TSS1500,0.151,0.131,0.008
cg07577837,6,157274017,ARID1B;ARID1B;ARID1B,Body;Body;Body,0.088,0.050,0.010
cg07582892,1,184488937,C1orf21,Body,0.090,0.084,0.004
cg07585069,17,27039120,PROCA1,TSS1500,0.096,0.077,0.008
cg07586235,1,200385219,,,0.092,0.053,0.010
cg07593977,8,11735419,,,0.117,0.108,0.006
cg07598341,1,44344466,ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3;ST3GAL3,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,0.096,0.088,0.002
cg07613391,3,30708746,TGFBR2;TGFBR2,Body;Body,0.093,0.093,0.004
cg07617759,2,33050475,LOC285045,TSS200,0.096,0.095,0.004
cg07625619,16,69050940,TMCO7,Body,0.089,0.080,0.004
cg07635227,16,4714815,MGRN1;MGRN1;MGRN1;MGRN1,Body;Body;Body;Body,0.095,0.082,0.008
cg07636142,7,69292759,AUTS2;AUTS2;AUTS2,Body;Body;Body,0.107,0.105,0.003
cg07645286,2,173604634,RAPGEF4,Body,0.103,0.096,0.005
cg07658280,8,145728490,GPT,TSS1500,0.105,0.099,0.005
cg07661835,16,89163578,ACSF3;ACSF3;ACSF3,Body;5'UTR;5'UTR,0.140,0.028,0.027
cg07665923,7,1174784,C7orf50;C7orf50;C7orf50,5'UTR;5'UTR;5'UTR,0.119,0.110,0.007
cg07673230,8,98789233,LAPTM4B,Body,0.086,0.086,0.004
cg07680649,8,81782647,ZNF704,5'UTR,0.101,0.084,0.004
cg07706375,19,13947646,MIR23A;MIR24-2;MIR27A,TSS200;TSS1500;TSS1500,0.086,0.068,0.004
cg07708521,5,139088316,,,0.093,0.092,0.004
cg07714319,2,16822974,FAM49A,5'UTR,0.096,0.085,0.003
cg07729527,2,174889845,,,0.088,0.082,0.003
cg07734975,11,9780844,,,0.151,0.123,0.015
cg07745671,3,177272848,,,0.138,0.145,0.004
cg07747256,6,22251202,,,0.092,0.096,0.003
cg07748253,5,14306269,TRIO,Body,0.096,0.105,0.003
cg07749597,5,42840698,,,0.126,0.115,0.005
cg07751331,2,26205865,KIF3C,TSS1500,0.087,0.089,0.002
cg07760722,4,149033953,NR3C2;NR3C2,Body;Body,0.097,0.089,0.005
cg07781701,3,105542204,CBLB,Body,0.102,0.094,0.004
cg07784166,5,74172353,,,0.120,0.108,0.008
cg07784293,3,149272904,WWTR1;WWTR1;WWTR1,Body;Body;Body,0.087,0.083,0.003
cg07807470,1,28837350,SNHG3-RCC1;SNHG3-RCC1;SNHG3-RCC1,Body;Body;5'UTR,0.094,0.090,0.003
cg07808899,11,102556583,,,0.086,0.082,0.004
cg07813275,1,182760143,NPL,TSS1500,0.094,0.096,0.006
cg07824114,11,113158301,,,0.088,0.078,0.004
cg07850896,5,171402820,FBXW11;FBXW11;FBXW11,Body;Body;Body,0.087,0.076,0.005
cg07859439,2,197792757,PGAP1,TSS1500,0.098,0.093,0.005
cg07870237,5,131348431,ACSL6;ACSL6,TSS1500;TSS1500,0.109,0.108,0.006
cg07879785,13,21095712,CRYL1,Body,0.095,0.093,0.003
cg07889938,4,87855377,AFF1,TSS1500,0.094,0.082,0.005
cg07890553,3,119182858,TMEM39A,TSS1500,0.096,0.090,0.005
cg07891271,15,101783037,CHSY1,Body,0.091,0.071,0.005
cg07894334,2,46925333,SOCS5;SOCS5,TSS1500;TSS1500,0.137,0.124,0.007
cg07914962,2,68992377,ARHGAP25;ARHGAP25,Body;Body,0.094,0.099,0.006
cg07915117,1,32421131,,,0.092,0.084,0.003
cg07944862,17,38501174,RARA;RARA;RARA;RARA,Body;Body;Body;Body,0.096,0.087,0.004
cg07957995,1,224644750,,,0.091,0.088,0.002
cg07958192,4,90033974,TIGD2;TIGD2,1stExon;5'UTR,0.095,0.084,0.009
cg07963147,3,141086820,ZBTB38,5'UTR,0.112,0.103,0.004
cg07971952,13,113434690,ATP11A;ATP11A,Body;Body,0.092,0.097,0.005
cg07989678,2,172543677,DYNC1I2,TSS1500,0.091,0.073,0.007
cg07998677,3,184302124,,,0.086,0.075,0.003
cg08002746,8,19961386,,,0.131,0.113,0.010
cg08003102,4,88451496,SPARCL1;SPARCL1,TSS1500;TSS1500,0.090,0.102,0.003
cg08005692,1,155506056,ASH1L,5'UTR,0.099,0.092,0.008
cg08011645,11,64488701,NRXN2;NRXN2,5'UTR;5'UTR,0.112,0.095,0.011
cg08012294,8,11723816,CTSB;CTSB;CTSB;CTSB;CTSB,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,0.089,0.091,0.007
cg08035749,2,146517334,,,0.095,0.085,0.003
cg08039560,21,45575832,,,0.098,0.088,0.005
cg08039583,12,32258877,BICD1;BICD1,TSS1500;TSS1500,0.090,0.083,0.003
cg08042322,12,104233595,NT5DC3,Body,0.097,0.089,0.003
cg08052226,19,13207993,NFIX,3'UTR,0.094,0.068,0.012
cg08063911,5,133451474,TCF7;TCF7;TCF7;TCF7;TCF7;TCF7;TCF7;TCF7,5'UTR;TSS200;5'UTR;5'UTR;5'UTR;Body;TSS200;1stExon,0.091,0.082,0.003
cg08066673,14,52325747,GNG2,TSS1500,0.096,0.086,0.006
cg08080498,8,22404955,,,0.091,0.085,0.003
cg08088222,12,122070432,ORAI1,Body,0.096,0.069,0.008
cg08091050,4,26208051,,,0.088,0.078,0.005
cg08095566,2,161221369,RBMS1;RBMS1,Body;Body,0.087,0.087,0.003
cg08112356,12,8187244,FOXJ2,5'UTR,0.089,0.070,0.004
cg08113628,1,182570870,RGS16,Body,0.100,0.101,0.004
cg08123444,2,9833101,,,0.097,0.063,0.007
cg08129017,17,17728660,SREBF1;SREBF1,Body;Body,0.091,0.088,0.002
cg08130265,15,77519170,C15orf5;SGK269,TSS1500;5'UTR,0.097,0.077,0.005
cg08134863,16,89390968,ANKRD11,5'UTR,0.092,0.081,0.009
cg08136020,6,14735175,,,0.116,0.117,0.004
cg08136587,14,53163071,ERO1L,TSS1500,0.086,0.081,0.003
cg08139238,16,22219550,EEF2K,5'UTR,0.095,0.084,0.003
cg08146717,1,8975200,,,0.101,0.093,0.005
cg08151828,19,11093828,SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4,5'UTR;TSS1500;5'UTR;TSS1500;5'UTR;TSS1500;TSS1500,0.096,0.089,0.006
cg08174789,8,2078112,MYOM2,Body,0.087,0.042,0.012
cg08174792,22,50221949,,,0.107,0.092,0.010
cg08175413,5,96294187,LNPEP;LNPEP;LNPEP,Body;5'UTR;1stExon,0.110,0.100,0.005
cg08176353,6,90120165,RRAGD,Body,0.088,0.096,0.004
cg08182270,15,65677663,IGDCC4,Body,0.105,0.082,0.005
cg08183724,20,21497429,,,0.120,0.123,0.008
cg08185095,8,74527135,STAU2;STAU2;STAU2;STAU2;STAU2;STAU2;STAU2,Body;Body;Body;Body;Body;Body;Body,0.108,0.097,0.005
cg08186584,16,28564487,CCDC101,TSS1500,0.089,0.053,0.009
cg08189198,14,51290136,NIN;NIN;NIN;NIN;NIN,5'UTR;5'UTR;5'UTR;1stExon;5'UTR,0.098,0.079,0.005
cg08208899,2,181931215,,,0.116,0.108,0.007
cg08211704,8,124007664,,,0.089,0.082,0.002
cg08219991,14,100054932,CCDC85C,Body,0.097,0.097,0.006
cg08224563,16,20916305,LYRM1;LYRM1;LYRM1,5'UTR;5'UTR;5'UTR,0.115,0.097,0.005
cg08227353,10,102821670,KAZALD1;KAZALD1,1stExon;5'UTR,0.105,0.092,0.006
cg08233218,1,19823125,,,0.104,0.105,0.004
cg08236285,8,4637584,CSMD1,Body,0.092,0.097,0.005
cg08252871,12,42534866,GXYLT1;GXYLT1,Body;Body,0.096,0.081,0.003
cg08269188,12,54655894,CBX5,5'UTR,0.099,0.094,0.007
cg08284263,10,92958627,,,0.120,0.100,0.010
cg08286791,2,80412398,CTNNA2;CTNNA2,Body;Body,0.093,0.074,0.006
cg08293102,14,51387478,PYGL;PYGL,Body;Body,0.089,0.069,0.005
cg08298091,11,10645996,MRVI1;MRVI1;MRVI1;MRVI1,Body;Body;Body;Body,0.097,0.086,0.004
cg08302302,10,80206778,,,0.105,0.087,0.012
cg08304084,16,51171082,SALL1;SALL1,Body;Body,0.105,0.065,0.013
cg08337633,7,55602109,VOPP1,Body,0.106,0.105,0.003
cg08338281,12,56322667,WIBG,TSS1500,0.106,0.097,0.008
cg08348990,13,110425835,IRS2,Body,0.112,0.115,0.008
cg08350509,19,3028220,TLE2;TLE2;TLE2,Body;Body;Body,0.129,0.133,0.005
cg08351088,3,5207429,ARL8B,Body,0.089,0.076,0.004
cg08351489,11,92446329,FAT3,Body,0.094,0.098,0.003
cg08355238,10,133740962,,,0.094,0.065,0.011
cg08355863,6,33587496,,,0.128,0.124,0.005
cg08356637,11,8385767,,,0.086,0.079,0.007
cg08370839,10,105678654,OBFC1,TSS1500,0.104,0.095,0.003
cg08371951,6,33396610,SYNGAP1,Body,0.089,0.081,0.006
cg08380252,19,35530254,SCN1B;HPN;HPN,Body;TSS1500;TSS1500,0.099,0.084,0.007
cg08398371,19,41814839,CCDC97,TSS1500,0.112,0.109,0.004
cg08405910,2,106501075,NCK2;NCK2;NCK2,Body;Body;Body,0.097,0.068,0.010
cg08411235,11,35297026,SLC1A2,Body,0.094,0.080,0.003
cg08418670,19,4374567,SH3GL1,Body,0.179,0.170,0.012
cg08421271,6,33284646,ZBTB22;ZBTB22,Body;Body,0.095,0.082,0.004
cg08426823,11,95990968,MAML2,Body,0.104,0.098,0.003
cg08438690,3,52279403,PPM1M;PPM1M,TSS1500;TSS1500,0.092,0.081,0.005
cg08439487,3,123509516,MYLK;MYLK;MYLK;MYLK,Body;Body;Body;Body,0.091,0.078,0.007
cg08443845,21,36421955,RUNX1,TSS1500,0.096,0.089,0.004
cg08447373,5,90478943,,,0.180,0.175,0.005
cg08447739,10,124220359,HTRA1,TSS1500,0.106,0.093,0.007
cg08455936,16,27781069,KIAA0556,Body,0.118,0.104,0.004
cg08456420,1,39570175,MACF1,Body,0.106,0.106,0.004
cg08460026,2,204732474,CTLA4;CTLA4,TSS200;TSS200,0.100,0.088,0.009
cg08461692,17,8481454,MYH10,Body,0.092,0.084,0.004
cg08462835,11,17790285,KCNC1;KCNC1,Body;Body,0.097,0.089,0.005
cg08463297,17,19976435,,,0.092,0.078,0.003
cg08468599,1,2182126,SKI,Body,0.105,0.092,0.004
cg08469255,6,30851069,DDR1;DDR1,TSS1500;TSS1500,0.125,0.117,0.003
cg08471739,3,129312902,PLXND1,Body,0.096,0.080,0.006
cg08485302,3,156439987,,,0.091,0.090,0.004
cg08505076,17,7122063,ACADVL;DLG4;DLG4;ACADVL,TSS1500;TSS1500;Body;TSS1500,0.090,0.082,0.005
cg08507975,10,130339186,,,0.086,0.083,0.005
cg08514408,4,71891972,DCK,Body,0.093,0.089,0.002
cg08525922,3,11643368,VGLL4;VGLL4,Body;Body,0.102,0.094,0.006
cg08529654,19,15305938,NOTCH3,Body,0.101,0.094,0.003
cg08534055,16,9190392,C16orf72,Body,0.116,0.115,0.004
cg08534147,3,48471771,PLXNB1;PLXNB1,TSS1500;TSS1500,0.114,0.114,0.002
cg08535978,3,152092595,MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1,Body;Body;Body;Body;Body;Body;Body,0.142,0.144,0.005
cg08536838,17,63559901,,,0.115,0.122,0.004
cg08548089,1,156408887,,,0.092,0.091,0.003
cg08549241,16,89440133,ANKRD11,5'UTR,0.086,0.091,0.003
cg08549335,7,30387954,ZNRF2,Body,0.098,0.116,0.005
cg08554257,16,50730737,NOD2,TSS1500,0.101,0.084,0.005
cg08559364,3,11634536,VGLL4;VGLL4,Body;Body,0.089,0.090,0.005
cg08566056,10,114526714,VTI1A,Body,0.088,0.068,0.009
cg08574915,17,79924772,,,0.100,0.089,0.006
cg08580602,5,10366924,6-Mar,Body,0.100,0.094,0.003
cg08586426,11,33915315,LMO2,TSS1500,0.113,0.098,0.005
cg08587804,11,35803039,TRIM44,Body,0.112,0.114,0.004
cg08593157,17,17684240,SMCR5;RAI1,TSS1500;5'UTR,0.087,0.110,0.004
cg08601457,6,112115117,FYN,5'UTR,0.104,0.098,0.004
cg08604960,5,157003436,ADAM19,TSS1500,0.104,0.105,0.003
cg08617982,13,114814680,RASA3,Body,0.093,0.095,0.005
cg08619385,4,144438035,SMARCA5,Body,0.092,0.085,0.003
cg08621277,11,68271518,SAPS3;SAPS3;SAPS3;SAPS3;SAPS3;SAPS3,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,0.126,0.115,0.002
cg08625564,17,1553453,RILP,TSS200,0.100,0.098,0.002
cg08631502,16,1078986,,,0.122,0.100,0.009
cg08639389,4,26995889,STIM2;STIM2;STIM2,Body;Body;Body,0.099,0.076,0.007
cg08651517,1,110888403,RBM15,3'UTR,0.096,0.088,0.004
cg08658371,3,127347343,PODXL2,TSS1500,0.114,0.106,0.005
cg08669096,11,121229765,,,0.106,0.104,0.003
cg08672203,5,54723011,PPAP2A;PPAP2A,Body;Body,0.093,0.085,0.006
cg08675002,5,90437527,GPR98;GPR98,Body;Body,0.100,0.104,0.004
cg08691775,8,134310658,NDRG1;NDRG1,TSS1500;TSS1500,0.095,0.078,0.006
cg08694003,6,31095655,PSORS1C1,5'UTR,0.091,0.038,0.019
cg08698159,17,27294743,SEZ6;SEZ6,Body;Body,0.126,0.120,0.004
